onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	YN	1.29	4	1	1	0	n/a
11.32	0	button press	n/a	n/a	n/a	n/a	n/a	50
16.90	4.83	NN	1.10	4	1	0	0	n/a
18.00	0	button press	n/a	n/a	n/a	n/a	n/a	50
19.73	0	button press	n/a	n/a	n/a	n/a	n/a	55
20.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
23.74	4.83	YY	1.37	2	1	3	1	n/a
25.10	0	button press	n/a	n/a	n/a	n/a	n/a	51
31.50	4.83	YN	1.18	4	1	3	0	n/a
32.68	0	button press	n/a	n/a	n/a	n/a	n/a	50
34.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
37.47	4.83	NN	1.33	3	1	0	0	n/a
38.81	0	button press	n/a	n/a	n/a	n/a	n/a	50
43.72	4.83	YY	1.18	3	1	1	1	n/a
44.90	0	button press	n/a	n/a	n/a	n/a	n/a	51
46.06	0	button press	n/a	n/a	n/a	n/a	n/a	55
47.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
51.69	4.83	NN	1.27	3	1	0	0	n/a
52.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
54.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
55.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
58.28	4.83	NN	1.35	5	1	0	0	n/a
59.63	0	button press	n/a	n/a	n/a	n/a	n/a	50
61.18	0	button press	n/a	n/a	n/a	n/a	n/a	54
61.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
62.33	0	button press	n/a	n/a	n/a	n/a	n/a	54
65.81	4.83	YY	1.02	6	1	1	1	n/a
66.82	0	button press	n/a	n/a	n/a	n/a	n/a	51
67.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.29	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.75	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
73.32	4.83	missed_trial	n/a	n/a	1	3	n/a	n/a
74.91	0	button press	n/a	n/a	n/a	n/a	n/a	51
79.56	4.83	NN	0.97	4	1	0	0	n/a
80.52	0	button press	n/a	n/a	n/a	n/a	n/a	50
81.86	0	button press	n/a	n/a	n/a	n/a	n/a	55
87.20	4.83	NN	1.00	4	1	0	0	n/a
88.20	0	button press	n/a	n/a	n/a	n/a	n/a	50
89.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
93.59	4.83	YY	0.62	6	1	1	1	n/a
94.21	0	button press	n/a	n/a	n/a	n/a	n/a	51
94.99	0	button press	n/a	n/a	n/a	n/a	n/a	54
95.46	0	button press	n/a	n/a	n/a	n/a	n/a	54
95.84	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.16	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.49	0	button press	n/a	n/a	n/a	n/a	n/a	54
96.92	0	button press	n/a	n/a	n/a	n/a	n/a	54
100.22	4.83	NY	0.72	4	1	0	1	n/a
100.93	0	button press	n/a	n/a	n/a	n/a	n/a	51
102.08	0	button press	n/a	n/a	n/a	n/a	n/a	55
102.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
108.52	4.83	YY	0.72	6	1	1	1	n/a
109.24	0	button press	n/a	n/a	n/a	n/a	n/a	51
110.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
116.72	4.83	NN	0.93	6	1	0	0	n/a
117.65	0	button press	n/a	n/a	n/a	n/a	n/a	50
118.68	0	button press	n/a	n/a	n/a	n/a	n/a	54
119.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
120.39	0	button press	n/a	n/a	n/a	n/a	n/a	54
123.81	4.83	YN	1.07	3	1	1	0	n/a
124.87	0	button press	n/a	n/a	n/a	n/a	n/a	50
126.55	0	button press	n/a	n/a	n/a	n/a	n/a	55
131.32	4.83	YY	1.22	4	1	3	1	n/a
132.53	0	button press	n/a	n/a	n/a	n/a	n/a	51
133.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
134.28	0	button press	n/a	n/a	n/a	n/a	n/a	54
139.09	4.83	YY	1.31	6	1	1	1	n/a
140.41	0	button press	n/a	n/a	n/a	n/a	n/a	51
141.32	0	button press	n/a	n/a	n/a	n/a	n/a	54
141.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
142.42	0	button press	n/a	n/a	n/a	n/a	n/a	54
145.78	4.83	NN	1.18	5	1	0	0	n/a
146.96	0	button press	n/a	n/a	n/a	n/a	n/a	50
147.95	0	button press	n/a	n/a	n/a	n/a	n/a	54
148.45	0	button press	n/a	n/a	n/a	n/a	n/a	54
149.03	0	button press	n/a	n/a	n/a	n/a	n/a	54
152.01	4.83	YN	1.48	4	1	1	0	n/a
153.49	0	button press	n/a	n/a	n/a	n/a	n/a	50
154.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
160.50	4.83	YY	0.78	6	1	1	1	n/a
161.28	0	button press	n/a	n/a	n/a	n/a	n/a	51
162.41	0	button press	n/a	n/a	n/a	n/a	n/a	54
167.99	4.83	NY	1.05	4	1	0	1	n/a
169.04	0	button press	n/a	n/a	n/a	n/a	n/a	51
170.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
170.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
171.00	0	button press	n/a	n/a	n/a	n/a	n/a	54
174.02	4.83	YN	1.22	4	1	3	0	n/a
175.23	0	button press	n/a	n/a	n/a	n/a	n/a	50
176.68	0	button press	n/a	n/a	n/a	n/a	n/a	55
177.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
180.71	4.83	YY	0.95	6	1	3	1	n/a
181.66	0	button press	n/a	n/a	n/a	n/a	n/a	51
182.27	0	button press	n/a	n/a	n/a	n/a	n/a	54
182.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
187.47	4.83	NN	0.97	4	1	0	0	n/a
188.43	0	button press	n/a	n/a	n/a	n/a	n/a	50
189.88	0	button press	n/a	n/a	n/a	n/a	n/a	55
190.26	0	button press	n/a	n/a	n/a	n/a	n/a	55
195.66	4.83	NY	1.15	4	1	0	1	n/a
196.81	0	button press	n/a	n/a	n/a	n/a	n/a	51
197.69	0	button press	n/a	n/a	n/a	n/a	n/a	55
