onset	duration	trial_type	response_time	confidence	detection	stimulus	response	key_id
10.03	4.83	CC	1.04	4	0	1	1	n/a
11.07	0	button press	n/a	n/a	n/a	n/a	n/a	51
12.70	0	button press	n/a	n/a	n/a	n/a	n/a	54
16.50	4.83	CC	0.65	6	0	1	1	n/a
17.15	0	button press	n/a	n/a	n/a	n/a	n/a	51
18.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
24.72	4.83	AA	0.95	4	0	3	3	n/a
25.67	0	button press	n/a	n/a	n/a	n/a	n/a	50
26.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
27.47	0	button press	n/a	n/a	n/a	n/a	n/a	55
30.65	4.83	AC	0.98	3	0	3	1	n/a
31.63	0	button press	n/a	n/a	n/a	n/a	n/a	51
38.22	4.83	AC	1.13	3	0	3	1	n/a
39.35	0	button press	n/a	n/a	n/a	n/a	n/a	51
40.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
40.55	0	button press	n/a	n/a	n/a	n/a	n/a	54
45.66	4.83	CC	1.21	2	0	1	1	n/a
46.88	0	button press	n/a	n/a	n/a	n/a	n/a	51
48.06	0	button press	n/a	n/a	n/a	n/a	n/a	54
52.02	4.83	CC	0.67	6	0	1	1	n/a
52.69	0	button press	n/a	n/a	n/a	n/a	n/a	51
58.40	4.83	CC	0.93	5	0	1	1	n/a
59.33	0	button press	n/a	n/a	n/a	n/a	n/a	51
60.40	0	button press	n/a	n/a	n/a	n/a	n/a	55
60.60	0	button press	n/a	n/a	n/a	n/a	n/a	55
60.80	0	button press	n/a	n/a	n/a	n/a	n/a	55
66.02	4.83	AA	1.41	1	0	3	3	n/a
67.44	0	button press	n/a	n/a	n/a	n/a	n/a	50
68.02	0	button press	n/a	n/a	n/a	n/a	n/a	55
68.22	0	button press	n/a	n/a	n/a	n/a	n/a	55
68.65	0	button press	n/a	n/a	n/a	n/a	n/a	54
68.82	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.00	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.17	0	button press	n/a	n/a	n/a	n/a	n/a	54
69.34	0	button press	n/a	n/a	n/a	n/a	n/a	54
72.75	4.83	AA	1.17	1	0	3	3	n/a
73.91	0	button press	n/a	n/a	n/a	n/a	n/a	50
74.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.01	0	button press	n/a	n/a	n/a	n/a	n/a	54
75.18	0	button press	n/a	n/a	n/a	n/a	n/a	54
78.74	4.83	CA	0.88	2	0	1	3	n/a
79.62	0	button press	n/a	n/a	n/a	n/a	n/a	50
80.71	0	button press	n/a	n/a	n/a	n/a	n/a	54
80.89	0	button press	n/a	n/a	n/a	n/a	n/a	54
85.28	4.83	AC	0.92	2	0	3	1	n/a
86.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
87.48	0	button press	n/a	n/a	n/a	n/a	n/a	54
87.93	0	button press	n/a	n/a	n/a	n/a	n/a	54
88.30	0	button press	n/a	n/a	n/a	n/a	n/a	54
92.23	4.83	CA	1.17	2	0	1	3	n/a
93.39	0	button press	n/a	n/a	n/a	n/a	n/a	50
100.50	4.83	AA	0.72	6	0	3	3	n/a
101.22	0	button press	n/a	n/a	n/a	n/a	n/a	50
107.99	4.83	CC	0.75	5	0	1	1	n/a
108.74	0	button press	n/a	n/a	n/a	n/a	n/a	51
109.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
110.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
114.25	4.83	CA	1.02	1	0	1	3	n/a
115.27	0	button press	n/a	n/a	n/a	n/a	n/a	50
116.23	0	button press	n/a	n/a	n/a	n/a	n/a	54
116.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
116.81	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.06	0	button press	n/a	n/a	n/a	n/a	n/a	54
117.25	0	button press	n/a	n/a	n/a	n/a	n/a	54
119.88	4.83	CC	0.68	6	0	1	1	n/a
120.56	0	button press	n/a	n/a	n/a	n/a	n/a	51
121.81	0	button press	n/a	n/a	n/a	n/a	n/a	55
121.99	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
122.36	0	button press	n/a	n/a	n/a	n/a	n/a	55
127.77	4.83	CC	0.83	4	0	1	1	n/a
128.60	0	button press	n/a	n/a	n/a	n/a	n/a	51
129.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
130.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
134.98	4.83	AA	0.93	4	0	3	3	n/a
135.91	0	button press	n/a	n/a	n/a	n/a	n/a	50
137.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
141.00	4.83	CC	0.68	6	0	1	1	n/a
141.68	0	button press	n/a	n/a	n/a	n/a	n/a	51
143.38	0	button press	n/a	n/a	n/a	n/a	n/a	55
149.06	4.83	CC	0.63	6	0	1	1	n/a
149.69	0	button press	n/a	n/a	n/a	n/a	n/a	51
156.43	4.83	AC	1.20	5	0	3	1	n/a
157.63	0	button press	n/a	n/a	n/a	n/a	n/a	51
158.53	0	button press	n/a	n/a	n/a	n/a	n/a	55
159.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
163.61	4.83	AA	0.85	6	0	3	3	n/a
164.46	0	button press	n/a	n/a	n/a	n/a	n/a	50
165.51	0	button press	n/a	n/a	n/a	n/a	n/a	55
165.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
165.91	0	button press	n/a	n/a	n/a	n/a	n/a	55
166.39	0	button press	n/a	n/a	n/a	n/a	n/a	55
172.00	4.83	AA	0.98	4	0	3	3	n/a
172.98	0	button press	n/a	n/a	n/a	n/a	n/a	50
179.04	4.83	CC	0.75	5	0	1	1	n/a
179.79	0	button press	n/a	n/a	n/a	n/a	n/a	51
180.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.17	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.34	0	button press	n/a	n/a	n/a	n/a	n/a	55
181.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
186.97	4.83	AA	0.71	6	0	3	3	n/a
187.68	0	button press	n/a	n/a	n/a	n/a	n/a	50
188.90	0	button press	n/a	n/a	n/a	n/a	n/a	55
189.13	0	button press	n/a	n/a	n/a	n/a	n/a	55
189.31	0	button press	n/a	n/a	n/a	n/a	n/a	55
189.76	0	button press	n/a	n/a	n/a	n/a	n/a	55
190.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
194.59	4.83	AA	0.65	6	0	3	3	n/a
195.24	0	button press	n/a	n/a	n/a	n/a	n/a	50
196.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
196.72	0	button press	n/a	n/a	n/a	n/a	n/a	55
196.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
197.09	0	button press	n/a	n/a	n/a	n/a	n/a	55
202.98	4.83	CC	0.85	4	0	1	1	n/a
203.83	0	button press	n/a	n/a	n/a	n/a	n/a	51
205.61	0	button press	n/a	n/a	n/a	n/a	n/a	54
210.99	4.83	CA	0.80	4	0	1	3	n/a
211.79	0	button press	n/a	n/a	n/a	n/a	n/a	50
212.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
213.14	0	button press	n/a	n/a	n/a	n/a	n/a	55
213.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
217.41	4.83	AA	0.73	5	0	3	3	n/a
218.15	0	button press	n/a	n/a	n/a	n/a	n/a	50
219.51	0	button press	n/a	n/a	n/a	n/a	n/a	55
225.49	4.83	AC	1.40	4	0	3	1	n/a
226.89	0	button press	n/a	n/a	n/a	n/a	n/a	51
227.90	0	button press	n/a	n/a	n/a	n/a	n/a	54
233.01	4.83	AA	0.68	5	0	3	3	n/a
233.69	0	button press	n/a	n/a	n/a	n/a	n/a	50
234.93	0	button press	n/a	n/a	n/a	n/a	n/a	55
235.16	0	button press	n/a	n/a	n/a	n/a	n/a	55
240.89	4.83	AA	0.70	6	0	3	3	n/a
241.59	0	button press	n/a	n/a	n/a	n/a	n/a	50
243.30	0	button press	n/a	n/a	n/a	n/a	n/a	55
248.13	4.83	AA	0.82	4	0	3	3	n/a
248.94	0	button press	n/a	n/a	n/a	n/a	n/a	50
250.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
250.37	0	button press	n/a	n/a	n/a	n/a	n/a	55
250.56	0	button press	n/a	n/a	n/a	n/a	n/a	55
256.02	4.83	AA	0.78	4	0	3	3	n/a
256.80	0	button press	n/a	n/a	n/a	n/a	n/a	50
258.60	0	button press	n/a	n/a	n/a	n/a	n/a	54
264.13	4.83	CC	0.83	5	0	1	1	n/a
264.96	0	button press	n/a	n/a	n/a	n/a	n/a	51
266.12	0	button press	n/a	n/a	n/a	n/a	n/a	55
266.32	0	button press	n/a	n/a	n/a	n/a	n/a	55
267.34	0	button press	n/a	n/a	n/a	n/a	n/a	55
271.48	4.83	CC	0.72	4	0	1	1	n/a
272.20	0	button press	n/a	n/a	n/a	n/a	n/a	51
273.78	0	button press	n/a	n/a	n/a	n/a	n/a	54
274.43	0	button press	n/a	n/a	n/a	n/a	n/a	54
279.67	4.83	CC	0.72	3	0	1	1	n/a
280.39	0	button press	n/a	n/a	n/a	n/a	n/a	51
282.37	0	button press	n/a	n/a	n/a	n/a	n/a	54
282.69	0	button press	n/a	n/a	n/a	n/a	n/a	54
288.06	4.83	AC	0.87	4	0	3	1	n/a
288.93	0	button press	n/a	n/a	n/a	n/a	n/a	51
290.23	0	button press	n/a	n/a	n/a	n/a	n/a	55
296.26	4.83	CC	0.72	5	0	1	1	n/a
296.97	0	button press	n/a	n/a	n/a	n/a	n/a	51
299.28	0	button press	n/a	n/a	n/a	n/a	n/a	55
314.32	4.83	YY	1.00	4	1	3	1	n/a
315.32	0	button press	n/a	n/a	n/a	n/a	n/a	50
316.52	0	button press	n/a	n/a	n/a	n/a	n/a	55
316.70	0	button press	n/a	n/a	n/a	n/a	n/a	55
316.92	0	button press	n/a	n/a	n/a	n/a	n/a	55
322.13	4.83	NN	0.82	6	1	0	0	n/a
322.94	0	button press	n/a	n/a	n/a	n/a	n/a	51
324.89	0	button press	n/a	n/a	n/a	n/a	n/a	55
328.85	4.83	NN	0.97	5	1	0	0	n/a
329.82	0	button press	n/a	n/a	n/a	n/a	n/a	51
330.95	0	button press	n/a	n/a	n/a	n/a	n/a	55
331.18	0	button press	n/a	n/a	n/a	n/a	n/a	55
331.96	0	button press	n/a	n/a	n/a	n/a	n/a	55
334.60	4.83	YN	1.35	2	1	3	0	n/a
